"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WESD","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013876","33.56556","-86.745","187.5","2000-05-10","0.09","0.0","0.0","70","79","61","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-11","0.00","0.0","0.0","75","89","60","0.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-12","0.00","0.0","0.0","81","89","72","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-13","0.00","0.0","0.0","74","84","63","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-14","0.00","0.0","0.0","65","77","53","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-15","0.00","0.0","0.0","64","80","47","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-16","0.00","0.0","0.0","73","84","61","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-17","0.00","0.0","0.0","74","88","59","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-18","0.00","0.0","0.0","79","90","68","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-19","0.00","0.0","0.0","78","85","70","0.0",,,,,,,,"    1",,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-20","0.14","0.0","0.0","75","82","68","0.0","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-21","0.05","0.0","0.0","73","82","63","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-22","0.00","0.0","0.0","73","85","60","0.0","    1",,,,,,,"    1",,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-23","0.00","0.0","0.0","79","90","67","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-24","0.00","0.0","0.0","82","90","73","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-25","0.19","0.0","0.0","83","93","72","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-26","0.19","0.0","0.0","79","88","70","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-27","0.09","0.0","0.0","80","91","69","0.0","    1",,"    1",,,,,,,,"    1","    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-28","0.11","0.0","0.0","74","83","64","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-29","0.00","0.0","0.0","69","79","58","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-30","0.00","0.0","0.0","72","84","59","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-05-31","0.00","0.0","0.0","75","87","63","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-01","0.00","0.0","0.0","75","89","61","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-02","0.00","0.0","0.0","78","91","64","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-03","0.00","0.0","0.0","79","92","66","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-04","0.59","0.0","0.0","73","78","68","0.0",,,,,,,,"    1",,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-05","0.37","0.0","0.0","70","73","67","0.0","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-06","0.00","0.0","0.0","65","75","55","0.0","    1",,,,,,,,,,,"    1",,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-07","0.00","0.0","0.0","66","81","51","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-08","0.00","0.0","0.0","72","85","59","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-09","0.00","0.0","0.0","78","90","65","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-10","0.00","0.0","0.0","78","91","65","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-11","0.00","0.0","0.0","80","93","66","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-12","0.00","0.0","0.0","82","95","69","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-13","0.10","0.0","0.0","73","90","72","0.0",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-14","0.00","0.0","0.0","84","93","74","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-15","0.06","0.0","0.0","83","93","72","0.0",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-16","0.26","0.0","0.0","77","82","71","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-17","0.00","0.0","0.0","80","90","69","0.0",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-18","0.01","0.0","0.0","80","90","70","0.0",,,"    1",,,,,,,,,,,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-19","0.86","0.0","0.0","80","88","72","0.0","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-20","0.00","0.0","0.0","81","91","71","0.0",,,,,,,,,,,,,,,,,,,,,
"USW00013876","33.56556","-86.745","187.5","2000-06-21","0.18","0.0","0.0","83","91","74","0.0",,,,,,,,,,,,,,,"    1",,,,,,
